Database Type;Database Name;Description;Format/Naming;Location (example);Primary Interdependencies;Secondary Interdependencies;Column names /parameters;Type;Unit;Description;Valid Values
;;;;;;;Qww_sys_MWhyr;float;[MWh/year];DHW system heat demand;{0.0...n}
;;;;;;;Qww_sys0_kW;float;[kW/year];DHW system heat demand (Basecase);{0.0...n}
;;;;;;;Qww0_kW;float;[kW/year];DHW heat demand (Basecase);{0.0...n}
;;;;;;;SOLAR_hs_MWhyr;float;[MWh/year];Solar produced fraction of space heating;{0.0...n}
;;;;;;;SOLAR_hs0_kW;float;[kW/year];Solar produced fraction of space heating (Basecase);{0.0...n}
;;;;;;;SOLAR_ww_MWhyr;float;[MWh/year];Solar produced fraction of DHW heating;{0.0...n}
;;;;;;;SOLAR_ww0_kW;float;[kW/year];Solar produced fraction of DHW heating (Basecase);{0.0...n}
;;;;;;;WOOD_hs_MWhyr;float;[MWh/year];Biomass produced fraction of space heating;{0.0...n}
;;;;;;;WOOD_hs0_kW;float;[kW/year];Biomass produced fraction of space heating (Basecase);{0.0...n}
;;;;;;;WOOD_ww_MWhyr;float;[MWh/year];Biomass produced fraction of DHW heating;{0.0...n}
;;;;;;;WOOD_ww0_kW;float;[kW/year];Biomass produced fraction of DHW heating (Basecase);{0.0...n}
;Solar Radiation: geometry;;;`` ..cea/examples/reference-case-open/baseline/outputs/solar-radiation/B01.csv`` ;;;AREA_m2;float;[m2];Surface area.;{0.0...n}
;;;;;;;BUILDING;string;[-];Unique building ID. It must start with a letter.;alphanumeric
;;;;;;;SURFACE;string;[-];Unique surface ID for each building exterior surface.;{srf0...srfn}
;;;;;;;TYPE;string;[-];Surface typology.;{walls, windows, roofs}
;;;;;;;Xcoor;float;[-];Describes the position of the x vector.;{0.0...n}
;;;;;;;Xdir;float;[-];Directional scalar of the x vector.;{-1...1}
;;;;;;;Ycoor;float;[-];Describes the position of the y vector.;{0.0...n}
;;;;;;;Ydir;float;[-];Directional scalar of the y vector.;{-1...1}
;;;;;;;Zcoor;float;[-];Describes the position of the z vector.;{0.0...n}
;;;;;;;Zdir;int;[-];Directional scalar of the z vector.;{-1...1}
;;;;;;;orientation;string;[-];Orientation of the surface (north, east, south, west or top);{north...}
;Solar Radiation: surface_properties;This database stores the aggregated and averaged geometric properties of the north, east, south and west walls for each building. Therefore, each building has four dedicated rows attibuted each variable listed.;csv file / properties_surfaces.csv;`` ..cea/examples/reference-case-open/baseline/outputs/solar-radiation/properties_surfaces.csv`` ;;;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
;;;;;;;Freeheight;float;[m];Surface height exposed to the sun;{0.0...n}
;;;;;;;FactorShade;float;[ratio];Defines whether surface is facing the sun (1) or not (0);{0.0...1}
;;;;;;;height_ag;float;[m];Aggregated height of the walls.;{0.0...n}
;;;;;;;Shape_Leng;float;[m];Surface length;{0.0...n}
;;;;;;;Awall_all;float;[m2];Total aggregated height of the walls, inclusive of windows.;{0.0...n}
;Solar Radiation: radiation;This database stores the total solar insolation for each building for each time step.;csv file / radiation.csv;`` ..cea/examples/reference-case-open/baseline/outputs/solar-radiation/radiation.csv`` ;;;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
;;;;;;;T1...T8760;float;[Wh/m2];Solar insolation for each hourly time step.;{0.01...n}
;Total_LCA_embodied;;;`` ..cea/examples/reference-case-open/baseline/outputs/data/emissions/Total_LCA_embodied.csv``;;;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
;;;;;;;GFA_m2;float;[m2];Gross floor area;{0.0...n}
;;;;;;;E_nre_pen_GJ;float;[GJ/yr];Embodied primary energy demand (no-renewable );{0.0...n}
;;;;;;;E_nre_pen_MJm2;float;[MJ/m2-yr];Embodied primary energy dmeand per unit of conditioned floor area (non-renewable);{0.0...n}
;;;;;;;E_ghg_ton;float;[ton/yr];Emissions due to Embodied energy ;{0.0...n}
;;;;;;;E_ghg_kgm2;float;[kg/m2 -yr];Emissions due to Embodied energy per unit of conditioned floor area;{0.0...n}
;Total_LCA_mobility;;;`` ..cea/examples/reference-case-open/baseline/outputs/data/emissions/Total_LCA_mobility.csv``;;;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
;;;;;;;GFA_m2;float;[m2];Gross floor area;{0.0...n}
;;;;;;;M_nre_pen_GJ;float;[GJ/yr];Primary energy demand (non-renewable) for mobility;{0.0...n}
;;;;;;;M_nre_pen_MJm2;float;[MJ/m2-yr];Primary energy demand for mobility per unit of conditioned floor area (non-renewable);{0.0...n}
;;;;;;;M_ghg_ton;float;[ton/yr];Emissions due to energy for mobility;{0.0...n}
;;;;;;;M_ghg_kgm2;float;[kg/m2 -yr];Emissions due to energy for mobility per unti of conditioned floor area;{0.0...n}
;Total_LCA_Operation;;;`` ..cea/examples/reference-case-open/baseline/outputs/data/emissions/Total_LCA_operation.csv``;;;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
;;;;;;;GFA_m2;float;[m2];Gross floor area;{0.0...n}
;;;;;;;PV_ghg_ton;float;[ton/yr];Emissions due to operational energy of the PV-System;{0.0...n}
;;;;;;;PV_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area for PV-System;{0.0...n}
;;;;;;;PV_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for PV-System;{0.0...n}
;;;;;;;PV_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) for PV System;{0.0...n}
;;;;;;;GRID_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) grid;{0.0...n}
;;;;;;;GRID_ghg_ton;float;[ton/yr];Emissions due to operational energy of the electrictiy from the grid;{0.0...n}
;;;;;;;GRID_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) from grid electricity;{0.0...n}
;;;;;;;GRID_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area from grid electricity ;{0.0...n}
;;;;;;;PV_nre_pen_GJ;float;[GJ/yr];;{0.0...n}
;;;;;;;PV_ghg_ton;float;[ton/yr];;{0.0...n}
;;;;;;;PV_nre_pen_MJm2;float;[MJ/m2-yr];;{0.0...n}
;;;;;;;PV_ghg_kgm2;float;[kg/m2 -yr];;{0.0...n}
;;;;;;;DC_cs_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for district cooling system;{0.0...n}
;;;;;;;DC_cs_ghg_ton;float;[ton/yr];Emissions due to operational energy of the district cooling;{0.0...n}
;;;;;;;DC_cs_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the district cooling ;{0.0...n}
;;;;;;;DC_cs_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the district cooling;{0.0...n}
;;;;;;;DC_cdata_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for district cooling system of the data center;{0.0...n}
;;;;;;;DC_cdata_ghg_ton;float;[ton/yr];Emissions due to operational energy of the district cooling for the data center;{0.0...n}
;;;;;;;DC_cdata_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the dstrict cooling for the data center;{0.0...n}
;;;;;;;DC_cdata_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the district cooling for the data center;{0.0...n}
;;;;;;;DC_cre_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for district cooling system for cooling and refrigeration;{0.0...n}
;;;;;;;DC_cre_ghg_ton;float;[ton/yr];Emissions due to operational energy of the district cooling for the cooling and refrigeration;{0.0...n}
;;;;;;;DC_cre_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the dstrict cooling for cooling and refrigeration;{0.0...n}
;;;;;;;DC_cre_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the district cooling for cooling and refrigeration;{0.0...n}
;;;;;;;DH_hs_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for district heating system;{0.0...n}
;;;;;;;DH_hs_ghg_ton;float;[ton/yr];Emissions due to operational energy of the district heating system;{0.0...n}
;;;;;;;DH_hs_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the district heating system;{0.0...n}
;;;;;;;DH_hs_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the district heating system;{0.0...n}
;;;;;;;SOLAR_hs_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) of the solar powered heating system;{0.0...n}
;;;;;;;SOLAR_hs_ghg_ton;float;[ton/yr];Emissions due to operational energy of the solar powered heating system;{0.0...n}
;;;;;;;SOLAR_hs_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the solar powered heating system;{0.0...n}
;;;;;;;SOLAR_hs_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the solar powered heating system;{0.0...n}
;;;;;;;NG_hs_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for natural gas powered heating system;{0.0...n}
;;;;;;;NG_hs_ghg_ton;float;[ton/yr];Emissions due to operational energy of the natural gas powered  heating system;{0.0...n}
;;;;;;;NG_hs_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the natural gas powered heating system;{0.0...n}
;;;;;;;NG_hs_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the natural gas powered heating system;{0.0...n}
;;;;;;;COAL_hs_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for coal powered heating system;{0.0...n}
;;;;;;;COAL_hs_ghg_ton;float;[ton/yr];Emissions due to operational energy of the coal powered heating system;{0.0...n}
;;;;;;;COAL_hs_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the coal powered heating system;{0.0...n}
;;;;;;;COAL_hs_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the coal powererd heating system;{0.0...n}
;;;;;;;OIL_hs_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for oil powered heating system;{0.0...n}
;;;;;;;OIL_hs_ghg_ton;float;[ton/yr];Emissions due to operational energy of the oil powered heating system;{0.0...n}
;;;;;;;OIL_hs_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the oil powered heating system;{0.0...n}
;;;;;;;OIL_hs_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the oil powered heating system;{0.0...n}
;;;;;;;WOOD_hs_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for wood powered heating system;{0.0...n}
;;;;;;;WOOD_hs_ghg_ton;float;[ton/yr];Emissions due to operational energy of the wood powered  heating system;{0.0...n}
;;;;;;;WOOD_hs_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the wood powered heating system;{0.0...n}
;;;;;;;WOOD_hs_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the wood powered heating system;{0.0...n}
;;;;;;;DH_ww_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for district heating powered domestic hot water system;{0.0...n}
;;;;;;;DH_ww_ghg_ton;float;[ton/yr];Emissions due to operational energy of the district heating powered domestic hot water system;{0.0...n}
;;;;;;;DH_ww_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the district heating domestic hot water system;{0.0...n}
;;;;;;;DH_ww_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the district heating domestic hot water system;{0.0...n}
;;;;;;;SOLAR_ww_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for solar powered  domestic hot water system;{0.0...n}
;;;;;;;SOLAR_ww_ghg_ton;float;[ton/yr];Emissions due to operational energy of the solar powered  domestic hot water system;{0.0...n}
;;;;;;;SOLAR_ww_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the solar poweed domestic hot water system;{0.0...n}
;;;;;;;SOLAR_ww_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the solar powered domestic hot water system;{0.0...n}
;;;;;;;NG_ww_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for natural gas powered  domestic hot water system;{0.0...n}
;;;;;;;NG_ww_ghg_ton;float;[ton/yr];Emissions due to operational energy of the solar powered domestic hot water system;{0.0...n}
;;;;;;;NG_ww_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the natural gas powered domestic hot water system;{0.0...n}
;;;;;;;NG_ww_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the gas powered domestic hot water system;{0.0...n}
;;;;;;;COAL_ww_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for coal powered domestic hot water system;{0.0...n}
;;;;;;;COAL_ww_ghg_ton;float;[ton/yr];Emissions due to operational energy of the coal powered domestic hot water system;{0.0...n}
;;;;;;;COAL_ww_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the coal powered domestic hot water system;{0.0...n}
;;;;;;;COAL_ww_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditionend floor area of the coal powered domestic hot water system;{0.0...n}
;;;;;;;OIL_ww_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for oil powered domestic hot water system;{0.0...n}
;;;;;;;OIL_ww_ghg_ton;float;[ton/yr];Emissions due to operational energy of the oil powered domestic hot water system;{0.0...n}
;;;;;;;OIL_ww_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the oil powered domestic hot water system;{0.0...n}
;;;;;;;OIL_ww_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the oil powered domestic hot water system;{0.0...n}
;;;;;;;WOOD_ww_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for wood powered domestic hot water system;{0.0...n}
;;;;;;;WOOD_ww_ghg_ton;float;[ton/yr];Emissions due to operational energy of the wood powered domestic hot water system;{0.0...n}
;;;;;;;WOOD_ww_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the wood powered domestic hot water system;{0.0...n}
;;;;;;;WOOD_ww_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the wood powered domestic hot water system;{0.0...n}
;;;;;;;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
;;;;;;;GFA_m2;float;[m2];Gross floor area;{0.0...n}
;;;;;;;O_ghg_ton;float;[ton/yr];Total emissions due to operational energy;{0.0...n}
;;;;;;;O_ghg_kgm2;float;[kg/m2 -yr];Total emissions due to operational energy per unit of conditioned floor area;{0.0...n}
;;;;;;;O_nre_pen_GJ;float;[GJ/yr];Total Operational primary energy demand (non renewable);{0.0...n}
;;;;;;;O_nre_pen_MJm2;float;[MJ/m2-yr];Total Operational primary energy demand per unit of conditioned floor area (non renewable) ;{0.0...n}
;Optimization_disconnected (District Optimized Heating);;;`` ..cea/examples/reference-case-open/baseline/outputs/data/optimization/disconnected/DiscOp_B01_result_heating.csv``;;;Annualized Investment Costs;float;[CHF];Annualized investment cost;{0.0...n}
;;;;;;;Best configuration;integer;[-];Weighted performance indicator for the best configuration;{-1...1}
;;;;;;;BoilerBG Share;float;[-];Share of biogas;{0...1}
;;;;;;;BoilerNG Share;float;[-];Share of natural gas;{0...1}
;;;;;;;CO2 Emissions;float;[kgCO2-eq];CO2-emissions;{0.0...n}
;;;;;;;EforGHP;float;;Electricity consumption of the ground source heat pump;
;;;;;;;FC Share;float;[-];Share of flatplate collectors;{0...1}
;;;;;;;GHP Share;float;[-];Share of ground source heat pump;{0...1}
;;;;;;;Nominal Power;float;?;Nomial Power of the System??;{0.0...n}
;;;;;;;Operation Costs;float;[CHF];Operations Cost ;{0.0...n}
;;;;;;;Primary Energy Needs [MJoil-eq];float;[MJ oil-eq];Primary energy needs in MJ oil equivalents;{0.0...n}
;;;;;;;QfromBG;float;[W];District heat from biogas ;{0.0...n}
;;;;;;;QfromGHP;float;[W];District heat from groundsource heatpump;{0.0...n}
;;;;;;;QfromNG;float;[W];District heat from natural gas;{0.0...n}
;;;;;;;Total Costs;float;[CHF];Total cost of the district system (annualized investment cost + operation cost);{0.0...n}
;Optimization_Substations;;;`` ..cea/examples/reference-case-open/baseline/outputs/data/optimization/substations/BO1_results.csv``;;;A_hex_cs;float;[m2];Area heat exchanger for the cooling system;{0.0...n}
;;;;;;;A_hex_cs_space_cooling_data_center_and_refrigeration;float;[m2];Area heat exchanger for the cooling system data center and refrigeration;{0.0...n}
;;;;;;;A_hex_dhw_design_m2;float;[m2];Area heat exchanger Domestic Hot Water system;{0.0...n}
;;;;;;;A_hex_heating_design_m2;float;[m2];Area heat exchanger for the cooling system data center and refrigeration;{0.0...n}
;;;;;;;Electr_array_all_flat_W;float;[W];Electric consumption flat plate collector;{0.0...n}
;;;;;;;Q_dhw_W;float;[W];Heat demand domestic hot water system;{0.0...n}
;;;;;;;Q_heating_W;float;[W];Heat demand space cooling and refrigeration;{0.0...n}
;;;;;;;Q_space_cooling_and_refrigeration_W;float;[W];Heat demand space cooling and refrigeration;{0.0...n}
;;;;;;;Q_space_cooling_data_center_and_refrigeration_W;float;[W];Heat demand space cooling data center and refrigeration;{0.0...n}
;;;;;;;T_heating_max_all_buildings_intern_K;float;[K]; Maximum setpoint temperature for data center and refrigeration;{0.0...n}
;;;;;;;T_hotwater_max_all_buildings_intern_K;float;[K]; Maximum setpoint temperature for domestic hot water all buildings;{0.0...n}
;;;;;;;T_return_DC_space_cooling_and_refrigeration_result_K;float;[K];Temperature of return district space cooling and refrigeration ;{0.0...n}
;;;;;;;T_return_DC_space_cooling_data_center_and_refrigeration_result_K;float;[K];Temperature of return district space cooling data center and refrigeration;{0.0...n}
;;;;;;;T_return_DH_result_K;float;[K];Temperature of return district heating system;{0.0...n}
;;;;;;;T_supply_DC_space_cooling_and_refrigeration_result_K;float;[K];Temperature of supply district space cooling and regrigeration;{0.0...n}
;;;;;;;T_supply_DC_space_cooling_data_center_and_refrigeration_result_K;float;[K];Temperature of supply district space cooling data center and refrigeration;{0.0...n}
;;;;;;;T_supply_DH_result_K;float;[K];Temperature of supply district heating;{0.0...n}
;;;;;;;T_total_supply_max_all_buildings_intern_K;float;[K];Temperature of supply for all buildings;{0.0...n}
;;;;;;;mdot_DH_result_kgpers;float;[kg/s];Flow rate domestic heating;{0.0...n}
;;;;;;;mdot_space_cooling_and_refrigeration_result_kgpers;float;[kg/s];Flow rate space cooling and refrigeration;{0.0...n}
;;;;;;;mdot_space_cooling_data_center_and_refrigeration_result_kgpers;float;[kg/s];Flow rate space cooling data center and refrigeration;{0.0...n}
;Potentials: solar: Building_<collector>;These databases are somewhat generic for each solar collector technologies investigated. Irrelevant fields are not written depending on the type of technology (e.g. B01_PV.csv will not contain any thermodynamic variables).;csv file / B01_<collector>.csv;`` ..cea/examples/reference-case-open/baseline/outputs/potentials/solar/B01_PVT.csv`` ;;;Date;date;[datetime];Date and time in hourly steps.;{yyyy-mm-dd hh:mm:ss-Z}
;;;;;;;<collector>_walls_south_Q_kWh;float;[kWh];South facing wall collector derived heat.;{0.0...n}
;;;;;;;<collector>_walls_south_E_kWh;float;[kWh];South facing wall collector derived electricity.;{0.0...n}
;;;;;;;<collector>_walls_south_m2;float;[kWh];South facing wall collector surface area.;{0.0...n}
;;;;;;;<collector>_walls_north_Q_kWh;float;[kWh];North facing wall collector derived heat.;{0.0...n}
;;;;;;;<collector>_walls_north_E_kWh;float;[kWh];North facing wall collector derived electricity.;{0.0...n}
;;;;;;;<collector>_walls_north_m2;float;[kWh];North facing wall collector surface area.;{0.0...n}
;;;;;;;<collector>_roofs_top_Q_kWh;float;[kWh];Top facing roof collector derived heat.;{0.0...n}
;;;;;;;<collector>_roofs_top_E_kWh;float;[kWh];Top facing roof collector derived electricity.;{0.0...n}
;;;;;;;<collector>_roofs_top_m2;float;[kWh];Top facing roof collector surface area.;{0.0...n}
;;;;;;;<collector>_walls_east_Q_kWh;float;[kWh];East facing wall collector derived heat.;{0.0...n}
;;;;;;;<collector>_walls_east_E_kWh;float;[kWh];East facing wall collector derived electricity.;{0.0...n}
;;;;;;;<collector>_walls_east_m2;float;[kWh];East facing wall collector surface area.;{0.0...n}
;;;;;;;<collector>_walls_west_Q_kWh;float;[kWh];West facing wall collector derived heat.;{0.0...n}
;;;;;;;<collector>_walls_west_E_kWh;float;[kWh];West facing wall collector derived electricity.;{0.0...n}
;;;;;;;<collector>_walls_west_m2;float;[kWh];West facing wall collector surface area.;{0.0...n}
;;;;;;;Area_<collector>_m2;float;[m2];Total area of investigated collector.;{0.0...n}
;;;;;;;radiation_kWh;float;[kWh];Total radiatiative potential.;{0.0...n}
;;;;;;;E_<collector>_gen_kWh;float;[kWh];Total electricity generated by the collector.;{0.0...n}
;;;;;;;Q_<collector>_gen_kWh;float;[kWh];Total heat generated by the collector.;{0.0...n}
;;;;;;;mcp_<collector>_kWperC;float;[kW/Cap];Permissable heating power delivered via the collector.;{0.0...n}
;;;;;;;Eaux_<collector>_kWh;float;[kWh];Auxiliary electricity consumed by the collector.;{0.0...n}
;;;;;;;Q_<collector>_l_kWh;float;[kWh];Collector heat loss.;{0.0...n}
;;;;;;;T_<collector>_sup_C;float;[C];Collector heating supply temperature.;{0.0...n}
;;;;;;;T_<collector>_re_C;float;[C];Collector heating supply temperature.;{0.0...n}
;Potentials: solar: Building_<collector>_sensors;These databases are generic for all solar collector technologies investigated. They describe the position of all the sensoral nodes and assumed build characteristics of installed solar arrays.;csv file / B01_<collector>_sensors.csv;`` ..cea/examples/reference-case-open/baseline/outputs/potentials/solar/B01_PVT_sensors.csv`` ;;;SURFACE;string;[-];Unique surface ID for each building exterior surface.;{srf0...srfn}
;;;;;;;AREA_m2;float;[m2];Area of the specific surface for each building.;{0.0...n}
;;;;;;;BUILDING;string;[-];Unique building ID. It must start with a letter.;alphanumeric
;;;;;;;TYPE;string;[-];Surface typology.;{walls, windows, roofs}
;;;;;;;Xcoor;float;[-];Describes the position of the x vector.;{0.0...n}
;;;;;;;Xdir;float;[-];Directional scalar of the x vector.;{-1...1}
;;;;;;;Ycoor;float;[-];Describes the position of the y vector.;{0.0...n}
;;;;;;;Ydir;float;[-];Directional scalar of the y vector.;{-1...1}
;;;;;;;Zcoor;float;[-];Describes the position of the z vector.;{0.0...n}
;;;;;;;Zdir;float;[-];Directional scalar of the z vector.;{-1...1}
;;;;;;;orientation;string;[-];Orientation of the surface (north, east, south, west or top);{north...}
;;;;;;;total_rad_Whm2;float;[Wh/m2];Total radiatiative potential of a given surfaces area.;{0.0...n}
;;;;;;;tilt_deg;float;[deg];;{0.0...n}
;;;;;;;B_deg;float;[deg];;{0.0...n}
;;;;;;;array_spacing_m;float;[m];;{0.0...n}
;;;;;;;surface_azimuth_deg;float;[deg];;{0.0...n}
;;;;;;;area_installed_module_m2;float;[m2];;{0.0...n}
;;;;;;;CATteta_z;int;[-];;{0...n}
;;;;;;;CATB;int;[-];;{0...n}
;;;;;;;CATGB;int;[-];;{0...n}
;;;;;;;type_orientation;string;[-];Concatenated surface type and orientation.;{type_orientation}
;;;;;;;surface;string;[-];Unique surface ID for each building exterior surface.;{srf0...srfn}
Exogenous Databases;Transmittance: New Construction;Thermal Transmittance values for new buildings according to SIA 2040 (2011).;;;;;;;;;
