name,NameGerman,IdKbob,IdDisposal,Disposal,Density,DensityUnit,UBPEmbodied,UBPEoL,TotalEmbodied,TotalEoL,RenewableEmbodied,RenewableEoL,NonRenewableEmbodied,NonRenewableEoL,GHGEmbodied,GHGEoL,ThermalCond
"Laminate, 8.5 mm","Laminat, 8.5 mm",11.013,91.011,"Entsorgung, Bodenbelag, Laminat, 8.5 mm",8.5,m2,10000,248,82.8,0.291,38.4,0.005,44.4,0.286,8.38,0.088,NULL
"Linoleum, 2.5 mm","Linoleum, 2.5 mm",11.014,91.012,"Entsorgung, Bodenbelag, Linoleum, 2.5 mm",2.9,m2,10400,378,45.9,0.274,19.3,0.004,26.7,0.27,5.9,0.462,NULL
"Natural stone slab ground, 15 mm","Natursteinplatte geschliffen, 15 mm",11.015,91.059,"Entsorgungsmix, Backstein",40.5,m2,31000,1040,151,2.12,16.3,0.07,135,2.05,15.8,0.37,2
"Natural stone slab ground, Europe","Natursteinplatte geschliffen, Europa, 15 mm",11.015.01,91.059,"Entsorgungsmix, Backstein",40.5,m2,29200,1040,148,2.12,16.2,0.072,132,2.05,14.9,0.366,NULL
"Natural stone slab ground, Switzerland","Natursteinplatte geschliffen, Schweiz, 15 mm",11.015.02,91.059,"Entsorgungsmix, Backstein",40.5,m2,24300,1040,132,2.12,16,0.072,116,2.05,11.6,0.366,NULL
"Natural stone slab ground, overseas","Natursteinplatte geschliffen, uebersee, 15 mm",11.015.03,91.059,"Entsorgungsmix, Backstein",40.5,m2,33900,1040,159,2.12,16.5,0.072,142,2.05,17.5,0.366,NULL
"Natural stone slab cut, 15 mm","Natursteinplatte geschnitten, 15 mm",11.016,91.059,"Entsorgungsmix, Backstein",40.5,m2,23800,1040,111,2.12,11,0.07,100,2.05,12.9,0.37,2
"Natural stone plate polished, 15 mm","Natursteinplatte poliert, 15 mm",11.017,91.059,"Entsorgungsmix, Backstein",40.5,m2,54000,1040,185,2.12,20.9,0.072,165,2.05,18.2,0.366,NULL
"Parquet 2-layer factory sealed, 11 mm","Parkett 2-Schicht werkversiegelt, 11 mm",11.018,91.013,"Entsorgung, Bodenbelag, Parkett 2-Schicht werkversiegelt, 11 mm",6.1,m2,12600,159,130,0.186,85.8,0.003,44.4,0.183,7.45,0.056,NULL
"Parquet 3-layer factory sealed, 15 mm","Parkett 3-Schicht werkversiegelt, 15 mm",11.019,91.014,"Entsorgung, Bodenbelag, Parkett 3-Schicht werkversiegelt, 15 mm",7.9,m2,16800,216,194,0.254,148,0.004,45.4,0.25,8.16,0.077,NULL
"Parquet mosaic factory sealed, 8 mm","Parkett Mosaik werkversiegelt, 8 mm",11.02,91.015,"Entsorgung, Bodenbelag, Parkett Mosaik werkversiegelt, 8 mm",5.6,m2,7790,134,104,0.158,78.1,0.003,26,0.155,3.38,0.048,NULL
"PVC homogeneous, 2 mm","PVC homogen, 2 mm",11.021,91.016,"Entsorgung, Bodenbelag, PVC homogen, 2 mm",3.1,m2,9350,3050,57.2,2.5,1.99,0.181,55.2,2.32,8.12,5.24,NULL
"Stone wood sealed, 16.5 mm","Steinholz versiegelt, 16.5 mm",11.022,91.017,"Entsorgung, Bodenbelag, Steinholz versiegelt, 16.5 mm",22,m2,8460,330,25.7,1.27,0.935,0.011,24.8,1.26,12.7,0.164,NULL
"Synthetic thermoplastic rubbers (TPO), 2 mm","Synthetische thermoplastische Belaege (TPO), 2 mm",11.023,91.018,"Entsorgung, Bodenbelag, Synthetische thermoplastische Belaege (TPO), 2 mm",3.4,m2,5630,2790,46.3,0.696,3.38,0.018,42.9,0.679,5.86,5.1,NULL
Carpet synthetic fiber tufted,Teppich Kunstfaser getuftet,11.024,91.019,"Entsorgung, Bodenbelag, Teppich Kunstfaser getuftet",2.1,m2,8640,2270,50.3,0.408,0.572,0.011,49.7,0.397,10.5,4.41,NULL
Carpet needle felt,Teppich Nadelfilz,11.025,91.02,"Entsorgung, Bodenbelag, Teppich Nadelfilz",1.3,m2,5080,1880,34.8,0.282,0.605,0.008,34.2,0.274,5.97,3.68,NULL
Carpet natural fiber,Teppich Naturfaser,11.026,91.021,"Entsorgung, Bodenbelag, Teppich Naturfaser",2.7,m2,8930,710,26.3,0.247,10.8,0.006,15.5,0.241,3.26,1.16,NULL
"Terrazzo sealed, 40 mm","Terrazzo versiegelt, 40 mm",11.027,91.022,"Entsorgung, Bodenbelag, Terrazzo versiegelt, 40 mm",95,m2,18500,339,47.3,0.815,3.51,0.007,43.8,0.808,17.6,0.135,NULL
"Outer door, wood, aluminum-planked","Aussentuere, Holz, aluminiumbeplankt",12.001,91.024,"Entsorgung, Gebaeude, Aussentuere, Holz-Aluminium, in Beseitigung",NULL,m2,161000,4680,496,8.78,175,0.116,321,8.66,74.3,3.27,NULL
"Outer door, wood, glass insert","Aussentuere, Holz, Glaseinsatz",12.002,91.025,"Entsorgung, Gebaeude, Aussentuere, Holz-Glas, in Beseitigung",NULL,m2,178000,5500,524,8.5,121,0.11,403,8.39,92.1,5.62,NULL
"Inner door, wood","Innentuere, Holz",12.003,91.035,"Entsorgung, Gebaeude, Innentuere, Holz, in Beseitigung",NULL,m2,53300,5370,479,4.18,290,0.083,189,4.1,35.3,7.73,NULL
"Inner door, wood, glass insert","Innentuere, Holz, Glaseinsatz",12.004,91.034,"Entsorgung, Gebaeude, Innentuere, Glas-Holz, in Beseitigung",NULL,m2,77200,10600,532,20.8,245,0.3,287,20.5,57.4,11.6,NULL
Acrylonitrile butadiene styrene (ABS),Acrylnitril-Butadien-Styrol (ABS),13.001,91.038,"Entsorgung, Gebaeude, Polyethylen/Polypropylen-Produkte, in Beseitigung",1050,kg,3890,1480,29.7,0.134,0.432,0.002,29.3,0.132,4.91,3.03,NULL
Cast iron,Gusseisen,13.005,-,Recycling,7850,kg,4200,0,6.82,0,0.212,0,6.61,0,1.51,0,NULL
Polyethylene (PE),Polyethylen (PE),13.002,91.038,"Entsorgung, Gebaeude, Polyethylen/Polypropylen-Produkte, in Beseitigung",960,kg,1920,1480,23.6,0.134,0.547,0.002,23.1,0.132,2.38,3.03,NULL
Polypropylene (PP),Polypropylen (PP),13.003,91.038,"Entsorgung, Gebaeude, Polyethylen/Polypropylen-Produkte, in Beseitigung",910,kg,1940,1480,23,0.134,0.431,0.002,22.6,0.132,2.4,3.03,NULL
"Polypropylene (PP), recycled, Rehau","Polypropylen (PP), rezykliert, Rehau",13.003.01,91.038,"Entsorgung, Gebaeude, Polyethylen/Polypropylen-Produkte, in Beseitigung",910,kg,1360,1480,9.67,0.134,0.806,0.002,8.86,0.132,1.57,3.03,NULL
Polyvinyl chloride (PVC),Polyvinylchlorid (PVC),13.004,91.04,"Entsorgung, Gebaeude, PVC-Produkte, in Beseitigung",1390,kg,3220,1180,19,1.11,0.559,0.086,18.5,1.03,2.38,2.04,NULL
"Paint, solvent thinnable, 2 coats","Anstrich, loesemittelverduennbar, 2 Anstriche",14.002,91.023,"Entsorgung, Gebaeude, Anstrich auf Holz, in Beseitigung",0.3,m2,1480,471,6.93,0.03,0.45,0,6.48,0.03,0.88,0.72,0.2
"Painting, water-dilutable, 2 coats","Anstrich, wasserverduennbar, 2 Anstriche",14.001,91.023,"Entsorgung, Gebaeude, Anstrich auf Holz, in Beseitigung",0.3,m2,759,471,4.33,0.03,0.14,0,4.19,0.03,0.64,0.72,0.2
"Bitumen emulsion, 1 coat","Bitumenemulsion, 1 Anstrich",14.003,91.027,"Entsorgung, Gebaeude, Bitumenbahn, in Beseitigung",0.25,m2,331,295,1.89,0.06,0.02,0,1.88,0.05,0.11,0.59,0.017
"Enameling, metal","Emaillieren, Metall",14.004,-,keine,NULL,m2,10500,0,48,0,4.31,0,43.7,0,8.11,0,NULL
"Powder coating, aluminum","Pulverbeschichten, Aluminium",14.005,-,keine,NULL,m2,4470,0,17.9,0,0.649,0,17.3,0,3.72,0,NULL
"Powder coating, steel","Pulverbeschichten, Stahl",14.006,-,keine,NULL,m2,4740,0,22.9,0,0.78,0,22.1,0,4.5,0,0
"Chrome plating, steel","Verchromen, Stahl",14.007,-,keine,NULL,m2,7120,0,5.77,0,0.776,0,4.99,0,0.582,0,NULL
"Galvanizing, steel","Verzinken, Stahl",14.008,-,keine,NULL,m2,41100,0,28.5,0,2.63,0,25.9,0,6.01,0,NULL
"Plexiglas (PMMA, acrylic glass)","Plexiglas (PMMA, Acrylglas)",15.001,91.038,"Entsorgung, Gebaeude, Polyethylen/Polypropylen-Produkte, in Beseitigung",1180,kg,7570,1480,40.3,0.134,0.371,0.002,40,0.132,8.68,3.03,NULL
Polyamide (PA) glass fiber reinforced,Polyamid (PA) glasfaserverstaerkt,15.002,91.071,GFK in KVA,1360,kg,7350,377,40.7,0.131,1,0.002,39.7,0.129,8.89,0.714,NULL
Polycarbonate (PC),Polycarbonat (PC),15.003,91.038,"Entsorgung, Gebaeude, Polyethylen/Polypropylen-Produkte, in Beseitigung",1200,kg,6760,1480,32,0.134,0.429,0.002,31.6,0.132,8.49,3.03,NULL
Polyester (UP) glass fiber reinforced,Polyester (UP) glasfaserverstaerkt,15.004,91.071,"Entsorgung, glasfaserverstaerkter Kunststoff (GFK), in Kehrichtverbrennung",1500,kg,8180,1030,32.9,0.2,1.52,0.01,31.4,0.19,6.87,1.98,0.19
Polystyrene (PS),Polystyrol (PS),15.005,91.038,"Entsorgung, Gebaeude, Polyethylen/Polypropylen-Produkte, in Beseitigung",1050,kg,2580,1480,24.5,0.134,0.097,0.002,24.4,0.132,3.64,3.03,NULL
Waste separation system,Abfalltrennsystem,21.001,91.123,"Entsorgung, Abfalltrennsystem",NULL,Stk.,15800,3770,131,0.35,18,0.01,113,0.34,16,7.68,NULL
"Countertop chrome steel, high-end","Arbeitsplatte Chromstahl, high-end",21.002,-,Recycling,NULL,m2,742000,0,1800,0,469,0,1330,0,323,0,NULL
"Countertop chrome steel, standard","Arbeitsplatte Chromstahl, Standard",21.003,91.124,"Entsorgung, Arbeitsplatte Chromstahl, Standard",NULL,m2,111000,1130,238,0.76,35.6,0.01,203,0.75,48.6,1.57,NULL
Worktop composite material (aluminum hydroxide-on),Arbeitsplatte Kompositwerkstoff (auf Aluminiumhydroxidbasis),21.004,91.125,"Entsorgung, Arbeitsplatte Kompositwerkstoff (auf Aluminiumhydroxidbasis)",NULL,m2,76400,10200,365,1.56,5.99,0.03,359,1.54,77.1,16.9,NULL
Countertop epoxy coated,Arbeitsplatte kunstharzbeschichtet,21.005,91.126,"Entsorgung, Arbeitsplatte kunstharzbeschichtet",NULL,m2,26400,1750,265,0.8,148,0.01,117,0.79,21.4,2.51,NULL
Worktop solid wood,Arbeitsplatte Massivholz,21.006,91.127,"Entsorgung, Arbeitsplatte Massivholz",NULL,m2,35300,634,335,0.82,252,0.01,83.3,0.8,11.7,0.24,NULL
Countertop stone,Arbeitsplatte Naturstein,21.007,91.128,"Entsorgung, Arbeitsplatte Naturstein",NULL,m2,119000,2130,468,4.31,61.9,0.15,406,4.17,35.6,0.75,NULL
Steam vent,Dampfabzug,21.008,91.129,"Entsorgung, Dampfabzug",NULL,Stk.,287000,8630,686,1.42,71.4,0.03,615,1.39,132,17.1,NULL
"Kitchen, solid wood, 16 pieces","Kueche, Massivholz, 16-teilig",21.009,91.13,"Entsorgung, Kueche, Massivholz, 16-teilig",NULL,Stk.,982000,45200,6160,22.7,3820,0.36,2350,22.3,409,71.8,NULL
"Kitchen, Metal, 16 pieces","Kueche, Metall, 16-teilig",21.01,91.131,"Entsorgung, Kueche, Metall, 16-teilig",NULL,Stk.,5600000,15200,11000,2.72,540,0.06,10500,2.65,2220,29.6,NULL
"Kitchen, chipboard, 16 pieces","Kueche, Spanplatte, 16-teilig",21.011,91.132,"Entsorgung, Kueche, Spanplatte, 16-teilig",NULL,Stk.,903000,77700,5660,36.5,2530,0.58,3130,36,578,119,NULL
Chrome steel sink,Spuele Chromstahl,21.012,91.133,"Entsorgung, Spuele Chromstahl",NULL,Stk.,86800,2240,266,0.22,40.6,0,225,0.21,41.9,4.57,NULL
Sink composite material (on rock flour basis),Spuele Kompositwerkstoff (auf Gesteinsmehlbasis),21.013,91.134,"Entsorgung, Spuele Kompositwerkstoff (auf Gesteinsmehlbasis)",NULL,Stk.,28200,4490,164,1.13,17.6,0.02,147,1.11,30.7,6.39,NULL
Hemp fibre insulation with polyester fibres,NULL,10.011,NULL,NULL,37,kg,0,0,0,0,17.2,0,31.2,0.12,1.4,0.04,0.04
Wood fibre insulation board,NULL,10.012,NULL,NULL,50,kg,0,0,0,0,3.27,0,12.7,0.15,0.6,0.04,0.04
"Sheep wool, felt",NULL,10.013,NULL,NULL,22,kg,0,0,0,0,14.7,0,14.8,0.15,1.67,0.04,0.04
Grass fibre insulation panel,NULL,10.014,NULL,NULL,40,kg,0,0,0,0,16.8,0,15.6,0.15,0.5,0.04,0.04
Straw lose fibres,NULL,10.015,NULL,NULL,105,kg,0,0,0,0,19.85,0,2.9,0.37,0.2,0.04,0.07
Expanded perlite,NULL,10.016,NULL,NULL,130,kg,0,0,0,0,0.51,0,18.32,0.12,1.13,0.04,0.05
Hemp shives,NULL,10.017,NULL,NULL,117,kg,0,0,0,0,18.1,0,2.71,0.37,0.07,0.04,0.04
Hempcrate brick,NULL,10.018,NULL,NULL,330,kg,0,0,0,0,4.63,0,3.2,0.09,0.37,0.05,0.07
Oriented straw strand board - OSSB,NULL,3.021,NULL,NULL,652,kg,0,0,0,0,14.93,0,7.5,0.22,0.39,0.13,0.13
Low-clinker concrete with CEM II/C (60% cement replacement with SCMs),NULL,3.022,NULL,NULL,2400,kg,0,0,0,0,14.93,0,1308.17,0.09,184.54,0.5,1
Jute-reinforced light-clay board,NULL,4.018,NULL,NULL,1300,kg,0,0,0,0,5.81,0,1.8,0.2,0.13,0.01,0.47
Reed mat,NULL,4.019,NULL,NULL,145,kg,0,0,0,0,0.52,0,4.96,0.13,0.04,0.04,0.06
Light-clay straw plaster,NULL,4.02,NULL,NULL,600,kg,0,0,0,0,5.09,0,4.74,0.09,0.09,0.05,0.16
Poured earth,NULL,3.023,NULL,NULL,2000,kg,36.3,25.35,0.02,0.05,0,0,0.02,0.05,0,0.01,0.06
